"","ID","Chrom","Start","Stop","Strand","Name"
"ENSMUSG00000028973","ENSMUSG00000028973","chr5",24393663,24410054,"+","Abcb8"
"ENSMUSG00000038276","ENSMUSG00000038276","chr5",24413392,24417835,"+","Asic3"
"ENSMUSG00000028969","ENSMUSG00000028969","chr5",24418241,24423530,"-","Cdk5"
"ENSMUSG00000028962","ENSMUSG00000028962","chr5",24423837,24440950,"+","Slc4a2"
"ENSMUSG00000028959","ENSMUSG00000028959","chr5",24438440,24445287,"-","Fastk"
"ENSMUSG00000028958","ENSMUSG00000028958","chr5",24445458,24447854,"-","Tmub1"
"ENSMUSG00000023353","ENSMUSG00000023353","chr5",24452177,24502047,"+","Agap3"
"ENSMUSG00000067724","ENSMUSG00000067724","chr5",24502757,24527202,"-","Gbx1"
"ENSMUSG00000028953","ENSMUSG00000028953","chr5",24565345,24577467,"-","Abcf2"
"ENSMUSG00000067719","ENSMUSG00000067719","chr5",24581554,24581862,"-","Gm10221"
"ENSMUSG00000038181","ENSMUSG00000038181","chr5",24586741,24594556,"+","Chpf2"
"ENSMUSG00000028949","ENSMUSG00000028949","chr5",24590818,24624411,"-","Smarcd3"
"ENSMUSG00000038165","ENSMUSG00000038165","chr5",24645453,24648860,"+","1700022A21Rik"
"ENSMUSG00000028954","ENSMUSG00000028954","chr5",24685532,24710378,"+","Nub1"
"ENSMUSG00000097275","ENSMUSG00000097275","chr5",24696902,24704690,"-","Gm26648"
"ENSMUSG00000055235","ENSMUSG00000055235","chr5",24711738,24730727,"-","Wdr86"
"ENSMUSG00000038135","ENSMUSG00000038135","chr5",24751003,24758008,"-","Crygn"
"ENSMUSG00000028945","ENSMUSG00000028945","chr5",24802823,24842624,"-","Rheb"
"ENSMUSG00000028944","ENSMUSG00000028944","chr5",24862744,25100642,"-","Prkag2"
"ENSMUSG00000087314","ENSMUSG00000087314","chr5",24873544,24875934,"+","Prkag2os2"
"ENSMUSG00000038072","ENSMUSG00000038072","chr5",25221904,25265918,"+","Galnt11"
"ENSMUSG00000038056","ENSMUSG00000038056","chr5",25271798,25498783,"-","Kmt2c"
"ENSMUSG00000106457","ENSMUSG00000106457","chr5",25369020,25373039,"+","Gm42585"
"ENSMUSG00000038044","ENSMUSG00000038044","chr5",25516067,25518027,"+","Cct8l1"
"ENSMUSG00000101856","ENSMUSG00000101856","chr5",25530013,25531466,"+","1700096K18Rik"
"ENSMUSG00000105744","ENSMUSG00000105744","chr5",25532158,25532431,"-","Gm43141"
"ENSMUSG00000106241","ENSMUSG00000106241","chr5",25687373,25689395,"-","Gm43143"
"ENSMUSG00000028933","ENSMUSG00000028933","chr5",25689812,25705825,"-","Xrcc2"
"ENSMUSG00000056367","ENSMUSG00000056367","chr5",25759997,25850688,"+","Actr3b"
"ENSMUSG00000104651","ENSMUSG00000104651","chr5",25956626,25957721,"+","Gm21168"
"ENSMUSG00000090671","ENSMUSG00000090671","chr5",26007027,26008035,"+","Gm5067"
"ENSMUSG00000105422","ENSMUSG00000105422","chr5",26070537,26071474,"+","Gm6089"
"ENSMUSG00000061576","ENSMUSG00000061576","chr5",26817203,27727505,"+","Dpp6"
"ENSMUSG00000002221","ENSMUSG00000002221","chr5",27740080,27791691,"-","Paxip1"
"ENSMUSG00000105375","ENSMUSG00000105375","chr5",27820970,27821951,"+","Gm20239"
"ENSMUSG00000039106","ENSMUSG00000039106","chr5",27842149,27855088,"+","Htr5a"
"ENSMUSG00000045294","ENSMUSG00000045294","chr5",28071363,28078662,"+","Insig1"
"ENSMUSG00000039095","ENSMUSG00000039095","chr5",28165694,28172166,"+","En2"
"ENSMUSG00000044681","ENSMUSG00000044681","chr5",28200819,28245806,"-","Cnpy1"
"ENSMUSG00000048271","ENSMUSG00000048271","chr5",28317121,28419239,"+","Rbm33"
"ENSMUSG00000029130","ENSMUSG00000029130","chr5",29195992,29228457,"+","Rnf32"
"ENSMUSG00000089975","ENSMUSG00000089975","chr5",29217724,29218565,"+","Gm7420"
"ENSMUSG00000010721","ENSMUSG00000010721","chr5",29229802,29378390,"-","Lmbr1"
"ENSMUSG00000105741","ENSMUSG00000105741","chr5",29276002,29280297,"-","C79130"
"ENSMUSG00000097561","ENSMUSG00000097561","chr5",29378699,29390488,"+","4632411P08Rik"
"ENSMUSG00000001569","ENSMUSG00000001569","chr5",29434664,29457843,"+","Nom1"
"ENSMUSG00000078182","ENSMUSG00000078182","chr5",29538153,29538509,"+","Gm6083"
"ENSMUSG00000039000","ENSMUSG00000039000","chr5",29569242,29676092,"+","Ube3c"
"ENSMUSG00000029131","ENSMUSG00000029131","chr5",29735688,29818134,"+","Dnajb6"
"ENSMUSG00000025747","ENSMUSG00000025747","chr5",30058202,30073617,"-","Tyms"
"ENSMUSG00000104667","ENSMUSG00000104667","chr5",30092940,30097686,"+","Gm4961"
"ENSMUSG00000044576","ENSMUSG00000044576","chr5",30105161,30118378,"+","Garem2"
"ENSMUSG00000025745","ENSMUSG00000025745","chr5",30118304,30155162,"-","Hadha"
"ENSMUSG00000059447","ENSMUSG00000059447","chr5",30155248,30184593,"+","Hadhb"
"ENSMUSG00000067642","ENSMUSG00000067642","chr5",30193431,30205722,"-","Adgrf3"
"ENSMUSG00000075703","ENSMUSG00000075703","chr5",30232581,30272427,"+","Selenoi"
"ENSMUSG00000073102","ENSMUSG00000073102","chr5",30281388,30366695,"+","Drc1"
"ENSMUSG00000029175","ENSMUSG00000029175","chr5",30647933,30659729,"+","Slc35f6"
"ENSMUSG00000029177","ENSMUSG00000029177","chr5",30666777,30674830,"+","Cenpa"
"ENSMUSG00000029168","ENSMUSG00000029168","chr5",30711564,30799375,"+","Dpysl5"
"ENSMUSG00000029166","ENSMUSG00000029166","chr5",30814641,30866106,"+","Mapre3"
"ENSMUSG00000106229","ENSMUSG00000106229","chr5",30815620,30818477,"+","Gm19409"
"ENSMUSG00000038828","ENSMUSG00000038828","chr5",30868012,30879180,"+","Tmem214"
"ENSMUSG00000107086","ENSMUSG00000107086","chr5",30868764,30870828,"-","Gm43808"
"ENSMUSG00000029165","ENSMUSG00000029165","chr5",30888694,30906965,"+","Agbl5"
"ENSMUSG00000107201","ENSMUSG00000107201","chr5",30897300,30899580,"+","5930420M18Rik"
"ENSMUSG00000038803","ENSMUSG00000038803","chr5",30905885,30907788,"-","Ost4"
"ENSMUSG00000029163","ENSMUSG00000029163","chr5",30913402,30921277,"+","Emilin1"
"ENSMUSG00000029162","ENSMUSG00000029162","chr5",30921431,30931248,"+","Khk"
"ENSMUSG00000029161","ENSMUSG00000029161","chr5",30933143,30945591,"-","Cgref1"
"ENSMUSG00000006638","ENSMUSG00000006638","chr5",30950066,30955091,"+","Abhd1"
"ENSMUSG00000045302","ENSMUSG00000045302","chr5",30950853,30960361,"-","Preb"
"ENSMUSG00000006641","ENSMUSG00000006641","chr5",31036036,31048924,"-","Slc5a6"
"ENSMUSG00000013622","ENSMUSG00000013622","chr5",31048312,31054623,"+","Atraid"
"ENSMUSG00000013629","ENSMUSG00000013629","chr5",31054780,31078479,"+","Cad"
"ENSMUSG00000029151","ENSMUSG00000029151","chr5",31086106,31108237,"-","Slc30a3"
"ENSMUSG00000053856","ENSMUSG00000053856","chr5",31106285,31112526,"+","Dnajc5g"
"ENSMUSG00000062077","ENSMUSG00000062077","chr5",31116712,31137630,"+","Trim54"
"ENSMUSG00000107283","ENSMUSG00000107283","chr5",31140654,31154251,"-","Mpv17"
"ENSMUSG00000101678","ENSMUSG00000101678","chr5",31144739,31179911,"-","Gm29609"
"ENSMUSG00000106864","ENSMUSG00000106864","chr5",31156005,31180144,"-","Gtf3c2"
"ENSMUSG00000029145","ENSMUSG00000029145","chr5",31187558,31193430,"-","Eif2b4"
"ENSMUSG00000029146","ENSMUSG00000029146","chr5",31193227,31199143,"+","Snx17"
"ENSMUSG00000043059","ENSMUSG00000043059","chr5",31198981,31202303,"-","Zfp513"
"ENSMUSG00000029147","ENSMUSG00000029147","chr5",31202664,31220687,"-","Ppm1g"
"ENSMUSG00000106717","ENSMUSG00000106717","chr5",31210344,31214315,"-","Gm42798"
"ENSMUSG00000029148","ENSMUSG00000029148","chr5",31240864,31251566,"+","Nrbp1"
"ENSMUSG00000029149","ENSMUSG00000029149","chr5",31251691,31253202,"+","Krtcap3"
"ENSMUSG00000038564","ENSMUSG00000038564","chr5",31253277,31291116,"-","Ift172"
"ENSMUSG00000038552","ENSMUSG00000038552","chr5",31292242,31296080,"-","Fndc4"
"ENSMUSG00000062761","ENSMUSG00000062761","chr5",31452431,31481754,"+","Zfp512"
"ENSMUSG00000107120","ENSMUSG00000107120","chr5",31461022,31462409,"+","Gm43059"
"ENSMUSG00000029138","ENSMUSG00000029138","chr5",31485740,31488476,"+","4930548H24Rik"
"ENSMUSG00000064037","ENSMUSG00000064037","chr5",31494741,31512904,"+","Gpn1"
"ENSMUSG00000053134","ENSMUSG00000053134","chr5",31514564,31527807,"-","Supt7l"
"ENSMUSG00000029141","ENSMUSG00000029141","chr5",31526995,31556932,"+","Slc4a1ap"
"ENSMUSG00000107352","ENSMUSG00000107352","chr5",31560812,31569072,"-","Gm43660"
"ENSMUSG00000106918","ENSMUSG00000106918","chr5",31596935,31664384,"+","Mrpl33"
"ENSMUSG00000029136","ENSMUSG00000029136","chr5",31624439,31697627,"-","Rbks"
"ENSMUSG00000052139","ENSMUSG00000052139","chr5",31697684,32084962,"+","Babam2"
"ENSMUSG00000106894","ENSMUSG00000106894","chr5",32005977,32010863,"-","Gm17130"
"ENSMUSG00000029135","ENSMUSG00000029135","chr5",32135801,32157842,"+","Fosl2"
"ENSMUSG00000029134","ENSMUSG00000029134","chr5",32232708,32366520,"+","Plb1"
"ENSMUSG00000107211","ENSMUSG00000107211","chr5",32420003,32420972,"+","Gm5864"
"ENSMUSG00000014956","ENSMUSG00000014956","chr5",32458843,32517433,"+","Ppp1cb"
"ENSMUSG00000107083","ENSMUSG00000107083","chr5",32467195,32469429,"+","Gm43313"
"ENSMUSG00000080753","ENSMUSG00000080753","chr5",32479560,32479885,"-","Gm15613"
"ENSMUSG00000085234","ENSMUSG00000085234","chr5",32507184,32651065,"-","Gm15614"
"ENSMUSG00000107277","ENSMUSG00000107277","chr5",32607020,32611805,"-","Gm10461"
"ENSMUSG00000014932","ENSMUSG00000014932","chr5",32611171,32687057,"+","Yes1"
"ENSMUSG00000118435","ENSMUSG00000118435","chr5",32695749,32713024,"+","Gm50482"
"ENSMUSG00000106680","ENSMUSG00000106680","chr5",32713072,32713988,"-","Gm43852"
"ENSMUSG00000082305","ENSMUSG00000082305","chr5",32720330,32736194,"+","Gm2420"
"ENSMUSG00000023452","ENSMUSG00000023452","chr5",32736301,32785646,"-","Pisd"
"ENSMUSG00000054280","ENSMUSG00000054280","chr5",32789820,32854256,"-","Prr14l"
"ENSMUSG00000105429","ENSMUSG00000105429","chr5",32799904,32800965,"-","Gm43692"
"ENSMUSG00000106654","ENSMUSG00000106654","chr5",32838129,32838414,"+","Gm2623"
"ENSMUSG00000037426","ENSMUSG00000037426","chr5",32863701,32994236,"+","Depdc5"
"ENSMUSG00000105929","ENSMUSG00000105929","chr5",32984570,32985818,"+","Gm43693"
"ENSMUSG00000018965","ENSMUSG00000018965","chr5",33018816,33027966,"+","Ywhah"
"ENSMUSG00000011034","ENSMUSG00000011034","chr5",33104219,33162870,"+","Slc5a1"
"ENSMUSG00000037379","ENSMUSG00000037379","chr5",33198184,33218455,"-","Spon2"
"ENSMUSG00000037373","ENSMUSG00000037373","chr5",33247723,33274994,"-","Ctbp1"
"ENSMUSG00000092275","ENSMUSG00000092275","chr5",33293614,33311150,"-","Gm20465"
"ENSMUSG00000079562","ENSMUSG00000079562","chr5",33335509,33373296,"+","Maea"
"ENSMUSG00000037355","ENSMUSG00000037355","chr5",33378549,33419754,"+","Uvssa"
"ENSMUSG00000037339","ENSMUSG00000037339","chr5",33600347,33629635,"-","Fam53a"
"ENSMUSG00000004642","ENSMUSG00000004642","chr5",33634952,33652574,"-","Slbp"
"ENSMUSG00000019295","ENSMUSG00000019295","chr5",33653216,33658416,"-","Tmem129"
"ENSMUSG00000037313","ENSMUSG00000037313","chr5",33658128,33678995,"+","Tacc3"
"ENSMUSG00000054252","ENSMUSG00000054252","chr5",33721674,33737068,"+","Fgfr3"
"ENSMUSG00000005299","ENSMUSG00000005299","chr5",33739673,33782817,"-","Letm1"
"ENSMUSG00000057406","ENSMUSG00000057406","chr5",33820725,33897975,"+","Nsd2"
"ENSMUSG00000029111","ENSMUSG00000029111","chr5",33897916,33936413,"-","Nelfa"
"ENSMUSG00000070858","ENSMUSG00000070858","chr5",33983433,33985013,"+","Gm1673"
"ENSMUSG00000048142","ENSMUSG00000048142","chr5",33995984,34005916,"+","Nat8l"
"ENSMUSG00000045102","ENSMUSG00000045102","chr5",34007179,34169448,"-","Poln"
"ENSMUSG00000079555","ENSMUSG00000079555","chr5",34153880,34169527,"-","Haus3"
"ENSMUSG00000037235","ENSMUSG00000037235","chr5",34173883,34187720,"-","Mxd4"
"ENSMUSG00000037224","ENSMUSG00000037224","chr5",34194893,34288449,"-","Zfyve28"
"ENSMUSG00000086291","ENSMUSG00000086291","chr5",34211810,34213802,"-","Gm15513"
"ENSMUSG00000029110","ENSMUSG00000029110","chr5",34336289,34355629,"+","Rnf4"
"ENSMUSG00000037210","ENSMUSG00000037210","chr5",34369933,34486456,"+","Fam193a"
"ENSMUSG00000107227","ENSMUSG00000107227","chr5",34469664,34473195,"+","Gm42559"
"ENSMUSG00000098062","ENSMUSG00000098062","chr5",34481914,34482522,"-","Gm26931"
"ENSMUSG00000106678","ENSMUSG00000106678","chr5",34487314,34489722,"+","Gm43457"
"ENSMUSG00000059866","ENSMUSG00000059866","chr5",34496087,34513991,"-","Tnip2"
"ENSMUSG00000054520","ENSMUSG00000054520","chr5",34525838,34563641,"+","Sh3bp2"
"ENSMUSG00000029106","ENSMUSG00000029106","chr5",34573664,34632308,"+","Add1"
"ENSMUSG00000107128","ENSMUSG00000107128","chr5",34575088,34575556,"+","Gm42867"
"ENSMUSG00000001082","ENSMUSG00000001082","chr5",34633642,34637212,"-","Mfsd10"
"ENSMUSG00000036693","ENSMUSG00000036693","chr5",34638536,34660148,"-","Nop14"
"ENSMUSG00000085166","ENSMUSG00000085166","chr5",34650718,34652477,"+","Gm15522"
"ENSMUSG00000029104","ENSMUSG00000029104","chr5",34761740,34912534,"+","Htt"
"ENSMUSG00000051246","ENSMUSG00000051246","chr5",34908012,34923839,"+","Msantd1"
"ENSMUSG00000029101","ENSMUSG00000029101","chr5",34949445,35039644,"+","Rgs12"
"ENSMUSG00000029103","ENSMUSG00000029103","chr5",35091501,35105766,"-","Lrpap1"
"ENSMUSG00000036596","ENSMUSG00000036596","chr5",35502218,35525698,"-","Cpz"
"ENSMUSG00000106928","ENSMUSG00000106928","chr5",35551260,35553964,"-","Gm43860"
"ENSMUSG00000083907","ENSMUSG00000083907","chr5",35554184,35555970,"+","Plk-ps1"
"ENSMUSG00000029097","ENSMUSG00000029097","chr5",35556203,35575070,"-","Trmt44"
"ENSMUSG00000055061","ENSMUSG00000055061","chr5",35581227,35588763,"-","4931431C16Rik"
"ENSMUSG00000029098","ENSMUSG00000029098","chr5",35583040,35615352,"+","Acox3"
"ENSMUSG00000036553","ENSMUSG00000036553","chr5",35697180,35739987,"-","Sh3tc1"
"ENSMUSG00000029095","ENSMUSG00000029095","chr5",35757880,35884973,"+","Ablim2"
"ENSMUSG00000029094","ENSMUSG00000029094","chr5",35893319,36003923,"+","Afap1"
"ENSMUSG00000029093","ENSMUSG00000029093","chr5",36017180,36398139,"-","Sorcs2"
"ENSMUSG00000029198","ENSMUSG00000029198","chr5",36464998,36474080,"+","Grpel1"
"ENSMUSG00000029196","ENSMUSG00000029196","chr5",36473670,36484285,"-","Tada2b"
"ENSMUSG00000050677","ENSMUSG00000050677","chr5",36484588,36488172,"+","Ccdc96"
"ENSMUSG00000029192","ENSMUSG00000029192","chr5",36490604,36593276,"-","Tbc1d14"
"ENSMUSG00000029190","ENSMUSG00000029190","chr5",36600485,36696024,"-","D5Ertd579e"
"ENSMUSG00000060708","ENSMUSG00000060708","chr5",36747378,36748650,"-","Bloc1s4"
"ENSMUSG00000055302","ENSMUSG00000055302","chr5",36794867,36796772,"-","Mrfap1"
"ENSMUSG00000029119","ENSMUSG00000029119","chr5",36806921,36830653,"-","Man2b2"
"ENSMUSG00000029120","ENSMUSG00000029120","chr5",36868513,36955078,"+","Ppp2r2c"
"ENSMUSG00000039474","ENSMUSG00000039474","chr5",36966104,36989205,"-","Wfs1"
"ENSMUSG00000063646","ENSMUSG00000063646","chr5",37028335,37150607,"+","Jakmip1"
"ENSMUSG00000097686","ENSMUSG00000097686","chr5",37038164,37041646,"-","Gm26647"
"ENSMUSG00000029121","ENSMUSG00000029121","chr5",37241940,37292133,"+","Crmp1"
"ENSMUSG00000029122","ENSMUSG00000029122","chr5",37289098,37336894,"-","Evc"
"ENSMUSG00000050248","ENSMUSG00000050248","chr5",37338499,37425055,"+","Evc2"
"ENSMUSG00000048450","ENSMUSG00000048450","chr5",37820485,37824583,"-","Msx1"
"ENSMUSG00000029125","ENSMUSG00000029125","chr5",38038742,38137765,"+","Stx18"
"ENSMUSG00000029126","ENSMUSG00000029126","chr5",38137192,38159907,"-","Nsg1"
"ENSMUSG00000029127","ENSMUSG00000029127","chr5",38189735,38220457,"-","Zbtb49"
"ENSMUSG00000067367","ENSMUSG00000067367","chr5",38220470,38234306,"+","Lyar"
"ENSMUSG00000067365","ENSMUSG00000067365","chr5",38260185,38269634,"+","Tmem128"
"ENSMUSG00000051596","ENSMUSG00000051596","chr5",38275972,38304217,"+","Otop1"
"ENSMUSG00000005107","ENSMUSG00000005107","chr5",38349273,38503143,"-","Slc2a9"
"ENSMUSG00000005103","ENSMUSG00000005103","chr5",38526813,38563221,"-","Wdr1"
"ENSMUSG00000046572","ENSMUSG00000046572","chr5",38668484,38684826,"-","Zfp518b"
"ENSMUSG00000039315","ENSMUSG00000039315","chr5",38706462,38876812,"-","Clnk"
"ENSMUSG00000051022","ENSMUSG00000051022","chr5",39613935,39755475,"-","Hs3st1"
"ENSMUSG00000106895","ENSMUSG00000106895","chr5",41342123,41342931,"+","Gm4754"
"ENSMUSG00000029128","ENSMUSG00000029128","chr5",41624976,41708157,"-","Rab28"
"ENSMUSG00000061755","ENSMUSG00000061755","chr5",41787538,41844315,"-","Bod1l"
"ENSMUSG00000039782","ENSMUSG00000039782","chr5",43233170,43289724,"+","Cpeb2"
"ENSMUSG00000039765","ENSMUSG00000039765","chr5",43662346,43740972,"+","Cc2d2a"
"ENSMUSG00000039753","ENSMUSG00000039753","chr5",43744615,43821638,"-","Fbxl5"
"ENSMUSG00000104728","ENSMUSG00000104728","chr5",43752909,43754271,"-","Gm42462"
"ENSMUSG00000104823","ENSMUSG00000104823","chr5",43782243,43784770,"+","Gm43182"
"ENSMUSG00000104701","ENSMUSG00000104701","chr5",43807705,43808743,"-","Gm42555"
"ENSMUSG00000029082","ENSMUSG00000029082","chr5",43818885,43843986,"+","Bst1"
"ENSMUSG00000029084","ENSMUSG00000029084","chr5",43868553,43912375,"+","Cd38"
"ENSMUSG00000086479","ENSMUSG00000086479","chr5",43876030,43877304,"+","Gm16014"
"ENSMUSG00000087281","ENSMUSG00000087281","chr5",43909215,43909885,"-","Gm16015"
"ENSMUSG00000059565","ENSMUSG00000059565","chr5",43943903,43944482,"-","Gm5292"
"ENSMUSG00000048373","ENSMUSG00000048373","chr5",43978858,43981779,"-","Fgfbp1"
"ENSMUSG00000029086","ENSMUSG00000029086","chr5",43993620,44102032,"-","Prom1"
"ENSMUSG00000105264","ENSMUSG00000105264","chr5",44068198,44090854,"-","Gm42716"
"ENSMUSG00000072962","ENSMUSG00000072962","chr5",44100442,44102515,"+","Gm16401"
"ENSMUSG00000046985","ENSMUSG00000046985","chr5",44175154,44226626,"-","Tapt1"
"ENSMUSG00000105519","ENSMUSG00000105519","chr5",44213801,44217259,"-","E430021H15Rik"
"ENSMUSG00000105503","ENSMUSG00000105503","chr5",44219683,44224003,"+","Gm42982"
"ENSMUSG00000105149","ENSMUSG00000105149","chr5",44224510,44225324,"+","Gm42983"
"ENSMUSG00000039706","ENSMUSG00000039706","chr5",44472132,44799680,"-","Ldb2"
"ENSMUSG00000015806","ENSMUSG00000015806","chr5",45434021,45450236,"-","Qdpr"
"ENSMUSG00000039682","ENSMUSG00000039682","chr5",45493374,45512691,"+","Lap3"
"ENSMUSG00000015804","ENSMUSG00000015804","chr5",45520229,45529276,"+","Med28"
"ENSMUSG00000015879","ENSMUSG00000015879","chr5",45529705,45639614,"-","Fam184b"
"ENSMUSG00000105745","ENSMUSG00000105745","chr5",45531072,45533111,"+","Gm42521"
"ENSMUSG00000104986","ENSMUSG00000104986","chr5",45668702,45669708,"-","1600023N17Rik"
"ENSMUSG00000015880","ENSMUSG00000015880","chr5",45669919,45700546,"+","Ncapg"
"ENSMUSG00000015882","ENSMUSG00000015882","chr5",45697181,45857615,"-","Lcorl"
"ENSMUSG00000104342","ENSMUSG00000104342","chr5",45702733,45704760,"+","Gm36401"
"ENSMUSG00000104852","ENSMUSG00000104852","chr5",45758275,45761690,"-","Gm43201"
"ENSMUSG00000101587","ENSMUSG00000101587","chr5",45768867,45769743,"-","Gm29036"
"ENSMUSG00000105457","ENSMUSG00000105457","chr5",45770020,45772180,"-","Gm43200"
"ENSMUSG00000031558","ENSMUSG00000031558","chr5",47983138,48307733,"+","Slit2"
"ENSMUSG00000029089","ENSMUSG00000029089","chr5",48327952,48414294,"+","5730480H06Rik"
"ENSMUSG00000029088","ENSMUSG00000029088","chr5",48389502,49524907,"-","Kcnip4"
"ENSMUSG00000029090","ENSMUSG00000029090","chr5",49959956,50059006,"-","Adgra3"
"ENSMUSG00000106648","ENSMUSG00000106648","chr5",52139585,52142573,"-","Gm43176"
"ENSMUSG00000029169","ENSMUSG00000029169","chr5",52150203,52190514,"-","Dhx15"
"ENSMUSG00000106607","ENSMUSG00000106607","chr5",52174370,52175755,"-","Gm43178"
"ENSMUSG00000097145","ENSMUSG00000097145","chr5",52190672,52279034,"+","9230114K14Rik"
"ENSMUSG00000106464","ENSMUSG00000106464","chr5",52199984,52216434,"-","C130083M11Rik"
"ENSMUSG00000039252","ENSMUSG00000039252","chr5",52533517,52566462,"-","Lgi2"
"ENSMUSG00000029173","ENSMUSG00000029173","chr5",52640087,52669708,"-","Sepsecs"
"ENSMUSG00000029186","ENSMUSG00000029186","chr5",52741574,52769340,"+","Pi4k2b"
"ENSMUSG00000029179","ENSMUSG00000029179","chr5",52775409,52824665,"+","Zcchc4"
"ENSMUSG00000029176","ENSMUSG00000029176","chr5",52834012,52867797,"+","Anapc4"
"ENSMUSG00000029188","ENSMUSG00000029188","chr5",53038081,53071664,"+","Slc34a2"
"ENSMUSG00000029189","ENSMUSG00000029189","chr5",53107083,53213927,"-","Sel1l3"
"ENSMUSG00000061461","ENSMUSG00000061461","chr5",53267083,53278540,"+","Smim20"
"ENSMUSG00000039191","ENSMUSG00000039191","chr5",53466152,53657362,"+","Rbpj"
"ENSMUSG00000107111","ENSMUSG00000107111","chr5",53546351,53547322,"-","Gm40304"
"ENSMUSG00000039178","ENSMUSG00000039178","chr5",53809606,53903965,"+","Tbc1d19"
"ENSMUSG00000107182","ENSMUSG00000107182","chr5",53905164,53909218,"+","Gm43268"
"ENSMUSG00000039156","ENSMUSG00000039156","chr5",53998499,54121057,"+","Stim2"
"ENSMUSG00000083902","ENSMUSG00000083902","chr5",55624190,55625591,"+","Gm15975"
"ENSMUSG00000051116","ENSMUSG00000051116","chr5",57608569,57609067,"+","Gm8121"
"ENSMUSG00000104563","ENSMUSG00000104563","chr5",59953511,59956140,"-","Gm43041"
"ENSMUSG00000087034","ENSMUSG00000087034","chr5",60231483,60232212,"+","Cbfa2t2-ps1"
"ENSMUSG00000104775","ENSMUSG00000104775","chr5",60821659,60822427,"-","Gm8182"
"ENSMUSG00000037999","ENSMUSG00000037999","chr5",62602445,62766159,"-","Arap2"
"ENSMUSG00000105707","ENSMUSG00000105707","chr5",62656799,62660107,"-","Gm43753"
"ENSMUSG00000060512","ENSMUSG00000060512","chr5",63812363,63899625,"+","0610040J01Rik"
"ENSMUSG00000047881","ENSMUSG00000047881","chr5",63908897,63968897,"-","Rell1"
"ENSMUSG00000087552","ENSMUSG00000087552","chr5",63923901,63924970,"+","Gm15819"
"ENSMUSG00000029171","ENSMUSG00000029171","chr5",64092950,64128351,"+","Pgm2"
"ENSMUSG00000029174","ENSMUSG00000029174","chr5",64156305,64351486,"+","Tbc1d1"
"ENSMUSG00000104947","ENSMUSG00000104947","chr5",64233930,64236242,"+","Gm43721"
"ENSMUSG00000105402","ENSMUSG00000105402","chr5",64593857,64610700,"-","Gm3716"
"ENSMUSG00000097640","ENSMUSG00000097640","chr5",64708207,64804117,"-","Gm20033"
"ENSMUSG00000029178","ENSMUSG00000029178","chr5",64803388,64832901,"+","Klf3"
"ENSMUSG00000106205","ENSMUSG00000106205","chr5",64804014,64805735,"+","C230096K16Rik"
"ENSMUSG00000029185","ENSMUSG00000029185","chr5",64970071,65041886,"+","Fam114a1"
"ENSMUSG00000037913","ENSMUSG00000037913","chr5",65054346,65092132,"-","Tmem156"
"ENSMUSG00000054920","ENSMUSG00000054920","chr5",65107539,65168188,"+","Klhl5"
"ENSMUSG00000037890","ENSMUSG00000037890","chr5",65199696,65260415,"+","Wdr19"
"ENSMUSG00000029191","ENSMUSG00000029191","chr5",65261850,65335670,"-","Rfc1"
"ENSMUSG00000029195","ENSMUSG00000029195","chr5",65348314,65384007,"+","Klb"
"ENSMUSG00000047215","ENSMUSG00000047215","chr5",65388364,65391444,"-","Rpl9"
"ENSMUSG00000029199","ENSMUSG00000029199","chr5",65391497,65410693,"+","Lias"
"ENSMUSG00000029201","ENSMUSG00000029201","chr5",65413221,65435949,"-","Ugdh"
"ENSMUSG00000037822","ENSMUSG00000037822","chr5",65446844,65537184,"-","Smim14"
"ENSMUSG00000105601","ENSMUSG00000105601","chr5",65531568,65535760,"-","Gm42725"
"ENSMUSG00000029203","ENSMUSG00000029203","chr5",65537233,65598988,"+","Ube2k"
"ENSMUSG00000107362","ENSMUSG00000107362","chr5",65541929,65543680,"+","Gm40309"
"ENSMUSG00000029202","ENSMUSG00000029202","chr5",65605721,65698273,"-","Pds5a"
"ENSMUSG00000106767","ENSMUSG00000106767","chr5",65616949,65619771,"+","Gm42727"
"ENSMUSG00000106696","ENSMUSG00000106696","chr5",65623934,65626863,"+","Gm42729"
"ENSMUSG00000107158","ENSMUSG00000107158","chr5",65672609,65674160,"-","Gm42728"
"ENSMUSG00000107050","ENSMUSG00000107050","chr5",65680014,65682344,"-","C030017G13Rik"
"ENSMUSG00000037795","ENSMUSG00000037795","chr5",65763521,65830108,"+","N4bp2"
"ENSMUSG00000106682","ENSMUSG00000106682","chr5",65778014,65780518,"+","Gm42648"
"ENSMUSG00000107254","ENSMUSG00000107254","chr5",65911624,65915946,"+","Gm43769"
"ENSMUSG00000029205","ENSMUSG00000029205","chr5",65934921,65977326,"+","Chrna9"
"ENSMUSG00000054598","ENSMUSG00000054598","chr5",65979358,66004285,"-","9130230L23Rik"
"ENSMUSG00000070780","ENSMUSG00000070780","chr5",66016549,66173118,"-","Rbm47"
"ENSMUSG00000107304","ENSMUSG00000107304","chr5",66069501,66072895,"-","Gm43775"
"ENSMUSG00000029207","ENSMUSG00000029207","chr5",66298703,66618784,"-","Apbb2"
"ENSMUSG00000107155","ENSMUSG00000107155","chr5",66345893,66347225,"-","Gm43793"
"ENSMUSG00000106720","ENSMUSG00000106720","chr5",66531796,66534161,"-","Gm43795"
